crime_id,from_date,description,zip_code,charge_id,dvflag,firearm_used_flag,arr,male_arr,female_arr,black_race_flag,nan_race_flag,unknown_race_flag,white_race_flag,asian_race_flag,indian_race_flag,pacific_race_flag,age_minor,age_18_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_plus,total_vic,male_vic,female_vic
100034831_959,10/18/2016,Stolen Property,64130,959,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0
130056370_509,7/3/2016,Possession/Sale/Dist,64133,509,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
140071459_959,3/26/2016,Stolen Property,64130,959,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1.0,0.0
150064182_509,08/26/2018,Possession/Sale/Dist,64157,509,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
150082191_509,10/18/2017,Possession/Sale/Dist,64105,509,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
150088540_315,12/8/2015,DUI,64137,315,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
150091192_315,2/3/2016,DUI,64137,315,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0
160000004_119,1/1/2016,Misc Violation,99999,119,0,0,5,4,1,0,0,0,5,0,0,0,0,3,1,1,0,0,0,0,0.0,0.0,0.0
160000004_388,1/1/2016,Trespassing,99999,388,0,0,5,4,1,0,0,0,5,0,0,0,0,3,1,1,0,0,0,0,0.0,0.0,0.0
160000004_693,1/1/2016,Disorderly Conduct,99999,693,0,0,5,4,1,0,0,0,5,0,0,0,0,3,1,1,0,0,0,0,0.0,0.0,0.0
160000007_854,1/1/2016,Weapons Law Violatio,64109,854,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0
160000016_388,1/1/2016,Trespassing,99999,388,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
160000021_119,3/29/2016,Misc Violation,99999,119,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
160000022_693,1/1/2016,Disorderly Conduct,64105,693,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
160000022_907,1/1/2016,Resisting an Officer,64105,907,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
160000025_1,1/1/2016,Property Damage,64109,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,1.0
160000027_693,1/1/2016,Disorderly Conduct,64132,693,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0
160000031_413,1/1/2016,Fraud/Confidence Gam,64133,413,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0
160000040_1,12/31/2015,Property Damage,64109,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0.0
160000043_315,1/1/2016,DUI,64112,315,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
160000057_315,1/1/2016,DUI,64106,315,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0
160000074_388,1/1/2016,Trespassing,64110,388,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0
160000074_693,1/1/2016,Disorderly Conduct,64110,693,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0
160000093_392,1/1/2016,Non Aggravated Assault,64130,392,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,1.0
160000110_887,1/1/2016,Aggravated Assault - Domestic,64133,887,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,1.0
160000112_413,1/1/2016,Fraud/Confidence Gam,64133,413,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0
160000166_637,1/1/2016,Non Aggravated Assault - Domestic,64134,637,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,1.0
160000173_388,1/1/2016,Trespassing,64151,388,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
160000209_509,1/1/2016,Possession/Sale/Dist,64114,509,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
160000211_637,1/1/2016,Non Aggravated Assault - Domestic,64131,637,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,1.0
160000222_315,1/1/2016,DUI,64127,315,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0
160000231_509,1/2/2016,Possession/Sale/Dist,64128,509,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
160000236_637,1/1/2016,Non Aggravated Assault - Domestic,64119,637,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,1.0
160000240_315,1/2/2016,DUI,64130,315,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
160000241_637,1/2/2016,Non Aggravated Assault - Domestic,64127,637,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,1.0
160000248_119,1/2/2016,Misc Violation,64132,119,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
160000248_609,1/2/2016,Possession of Drug E,64132,609,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
160000250_887,1/2/2016,Aggravated Assault - Domestic,64126,887,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,1.0
160000251_637,1/2/2016,Non Aggravated Assault - Domestic,64128,637,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,1.0
160000254_637,1/2/2016,Non Aggravated Assault - Domestic,64116,637,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0,0.0
160000261_637,1/2/2016,Non Aggravated Assault - Domestic,64134,637,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.0,1.0,0.0
160000271_388,1/2/2016,Trespassing,64128,388,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
160000286_392,1/2/2016,Non Aggravated Assault,64132,392,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,1.0
160000303_312,1/2/2016,Violation Ex Parte Order,64151,312,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,1.0
160000357_637,1/2/2016,Non Aggravated Assault - Domestic,64132,637,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.0,1.0,0.0
160000366_637,1/2/2016,Non Aggravated Assault - Domestic,64124,637,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,1.0
160000377_603,1/2/2016,Stealing Shoplifting,64153,603,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0
160000391_603,1/2/2016,Stealing Shoplifting,64108,603,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
160000401_637,1/2/2016,Non Aggravated Assault - Domestic,64109,637,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,1.0
160000402_603,1/2/2016,Stealing Shoplifting,64123,603,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0
160000406_603,12/29/2015,Stealing Shoplifting,64123,603,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0
160000411_637,1/2/2016,Non Aggravated Assault - Domestic,64130,637,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,1.0
160000415_1,1/2/2016,Property Damage,64127,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,1.0,0.0
